"gene","ensembl_gene_id","entrezgene_id"
"ADAM30","ENSG00000134249",11085
"ADAM32","ENSG00000275594",203102
"ADAM32","ENSG00000197140",203102
"ADAM33","ENSG00000149451",80332
"ADAM3A","ENSG00000293380",1587
"ADAM3A","ENSG00000197475",1587
"ADAM5","ENSG00000196115",255926
"ADAM6","ENSG00000290844",8755
"ADAM6","ENSG00000271968",8755
"ADAM6","ENSG00000282626",8755
"ADAM6","ENSG00000290516",8755
"ADAM7","ENSG00000069206",8756
"ADAM7-AS2","ENSG00000253643",101929315
"ADAM8","ENSG00000151651",101
"ADAM9","ENSG00000282230",8754
"ADAM9","ENSG00000168615",8754
"ADAMDEC1","ENSG00000134028",27299
"ADAMTS1","ENSG00000154734",9510
"ADAMTS10","ENSG00000142303",81794
"ADAMTS12","ENSG00000281690",81792
"ADAMTS12","ENSG00000151388",81792
"ADAMTS13","ENSG00000160323",11093
"ADAMTS13","ENSG00000281244",11093
"ADAMTS14","ENSG00000138316",140766
"ADAMTS15","ENSG00000166106",170689
"ADAMTS16","ENSG00000145536",170690
"ADAMTS16-DT","ENSG00000250579",101929176
"ADAMTS17","ENSG00000140470",170691
"ADAMTS18","ENSG00000140873",170692
"ADAMTS19","ENSG00000145808",171019
"ADAMTS19-AS1","ENSG00000249421",NA
"ADAMTS2","ENSG00000087116",9509
"ADAMTS20","ENSG00000173157",80070
"ADAMTS3","ENSG00000156140",9508
"ADAMTS4","ENSG00000158859",9507
"ADAMTS5","ENSG00000154736",11096
"ADAMTS6","ENSG00000049192",11174
"ADAMTS7","ENSG00000136378",11173
"ADAMTS8","ENSG00000134917",11095
"ADAMTS9","ENSG00000163638",56999
"ADAMTS9-AS1","ENSG00000241158",101929335
"ADAMTSL1","ENSG00000178031",92949
"ADAMTSL2","ENSG00000197859",9719
"ADAMTSL3","ENSG00000156218",57188
"ADAMTSL3","ENSG00000291606",57188
"ADAMTSL4","ENSG00000143382",54507
"ADAMTSL5","ENSG00000185761",339366
"ADAP1","ENSG00000105963",11033
"ADAP2","ENSG00000184060",55803
"ADAR","ENSG00000160710",103
"ADARB1","ENSG00000197381",104
"ADARB2","ENSG00000185736",105
"ADARB2-AS1","ENSG00000205696",642394
"ADAT1","ENSG00000065457",23536
"ADAT2","ENSG00000189007",134637
"ADAT3","ENSG00000213638",113179
"ADCK1","ENSG00000063761",57143
"ADCK2","ENSG00000133597",90956
"ADCK5","ENSG00000285451",203054
"ADCK5","ENSG00000173137",203054
"ADCY1","ENSG00000164742",107
"ADCY10","ENSG00000143199",55811
"ADCY10P1","ENSG00000290554",221442
"ADCY10P1","ENSG00000161912",221442
"ADCY2","ENSG00000078295",108
"ADCY3","ENSG00000138031",109
"ADCY4","ENSG00000129467",196883
"ADCY4","ENSG00000284814",196883
"ADCY5","ENSG00000173175",111
"ADCY6","ENSG00000174233",112
"ADCY6-DT","ENSG00000257660",100506125
"ADCY7","ENSG00000121281",113
"ADCY8","ENSG00000155897",114
"ADCY9","ENSG00000162104",115
"ADCYAP1","ENSG00000141433",116
"ADCYAP1R1","ENSG00000078549",117
"ADD1","ENSG00000087274",118
"ADD2","ENSG00000075340",119
"ADD3","ENSG00000148700",120
"ADD3-AS1","ENSG00000203876",100505933
"ADGB","ENSG00000118492",79747
"ADGB-DT","ENSG00000237468",101928661
"ADGRA1","ENSG00000197177",84435
"ADGRA2","ENSG00000020181",25960
"ADGRA3","ENSG00000152990",166647
"ADGRB1","ENSG00000181790",575
"ADGRB2","ENSG00000121753",576
"ADGRB3","ENSG00000135298",577
"ADGRD1","ENSG00000111452",283383
"ADGRD2","ENSG00000180264",347088
"ADGRE1","ENSG00000174837",2015
"ADGRE2","ENSG00000127507",30817
"ADGRE3","ENSG00000131355",84658
"ADGRE5","ENSG00000123146",976
"ADGRF1","ENSG00000153292",266977
"ADGRF3","ENSG00000173567",165082
"ADGRF4","ENSG00000153294",221393
"ADGRF5","ENSG00000069122",221395
"ADGRG1","ENSG00000205336",9289
"ADGRG2","ENSG00000173698",10149
"ADGRG3","ENSG00000182885",222487
"ADGRG4","ENSG00000156920",139378
"ADGRG5","ENSG00000159618",221188
"ADGRG6","ENSG00000112414",57211
"ADGRG7","ENSG00000144820",84873
"ADGRL1","ENSG00000288324",22859
"ADGRL1","ENSG00000072071",22859
"ADGRL1-AS1","ENSG00000288348",100507373
"ADGRL1-AS1","ENSG00000267169",100507373
"ADGRL2","ENSG00000117114",23266
"ADGRL3","ENSG00000150471",23284
"ADGRL4","ENSG00000162618",64123
"ADGRV1","ENSG00000164199",84059
"ADH1A","ENSG00000187758",124
"ADH1B","ENSG00000196616",125
"ADH1C","ENSG00000248144",126
"ADH4","ENSG00000198099",127
"ADH5","ENSG00000197894",128
"ADH6","ENSG00000172955",130
"ADH7","ENSG00000196344",131
"ADHFE1","ENSG00000147576",137872
"ADI1","ENSG00000182551",55256
"ADI1","ENSG00000280830",55256
"ADIG","ENSG00000182035",149685
"ADIPOQ","ENSG00000181092",9370
"ADIPOQ-AS1","ENSG00000226482",100874095
"ADIPOR1","ENSG00000159346",51094
"ADIPOR2","ENSG00000006831",79602
"ADIPOR2","ENSG00000285070",79602
"ADIRF","ENSG00000148671",10974
"ADISSP","ENSG00000101220",54976
"ADK","ENSG00000156110",132
"ADM","ENSG00000148926",133
"ADM2","ENSG00000128165",79924
"ADM5","ENSG00000224420",199800
"ADNP","ENSG00000101126",23394
"ADNP-AS1","ENSG00000259456",101927631
"ADNP2","ENSG00000101544",22850
"ADO","ENSG00000181915",84890
"ADORA1","ENSG00000163485",134
"ADORA2A","ENSG00000128271",135
"ADORA2A-AS1","ENSG00000178803",646023
"ADORA2B","ENSG00000170425",136
"ADORA3","ENSG00000282608",140
"ADPGK","ENSG00000159322",83440
"ADPGK-AS1","ENSG00000260898",100287559
"ADPRH","ENSG00000144843",141
"ADPRHL1","ENSG00000153531",113622
"ADPRM","ENSG00000170222",56985
"ADPRS","ENSG00000116863",54936
"ADRA1A","ENSG00000120907",148
"ADRA1B","ENSG00000170214",147
"ADRA1D","ENSG00000171873",146
"ADRA2A","ENSG00000150594",150
"ADRA2B","ENSG00000274286",151
"ADRA2C","ENSG00000184160",152
"ADRB1","ENSG00000043591",153
"ADRB2","ENSG00000169252",154
"ADRB3","ENSG00000188778",155
"ADRM1","ENSG00000130706",11047
"ADSL","ENSG00000239900",158
"ADSS1","ENSG00000185100",122622
"ADSS2","ENSG00000035687",159
"ADTRP","ENSG00000111863",84830
"AEBP1","ENSG00000106624",165
"AEBP2","ENSG00000139154",121536
"AEN","ENSG00000181026",64782
"AFAP1","ENSG00000196526",60312
"AFAP1-AS1","ENSG00000272620",84740
"AFAP1L1","ENSG00000157510",134265
"AFAP1L2","ENSG00000169129",84632
"AFDN","ENSG00000130396",4301
"AFF1","ENSG00000172493",4299
"AFF2","ENSG00000155966",2334
"AFF3","ENSG00000144218",3899
"AFF4","ENSG00000072364",27125
"AFG1L","ENSG00000135537",246269
"AFG2A","ENSG00000145375",166378
"AFG2B","ENSG00000171763",79029
"AFG3L1P","ENSG00000293510",172
"AFG3L1P","ENSG00000223959",172
"AFG3L2","ENSG00000141385",10939
"AFM","ENSG00000079557",173
"AFMID","ENSG00000183077",125061
"AFP","ENSG00000081051",174
"AFTPH","ENSG00000119844",54812
"AFTPH-DT","ENSG00000260101",101927402
"AGA","ENSG00000038002",175
"AGA-DT","ENSG00000250131",285500
"AGAP1","ENSG00000157985",116987
"AGAP1-IT1","ENSG00000235529",100506749
"AGAP2","ENSG00000135439",116986
"AGAP2-AS1","ENSG00000255737",100130776
"AGAP3","ENSG00000133612",116988
"AGAP4","ENSG00000188234",119016
"AGAP5","ENSG00000172650",729092
"AGAP6","ENSG00000204149",414189
"AGAP9","ENSG00000204172",642517
"AGBL1","ENSG00000273540",123624
"AGBL1-AS1","ENSG00000260125",727915
"AGBL2","ENSG00000165923",79841
"AGBL2","ENSG00000285501",79841
"AGBL3","ENSG00000146856",340351
"AGBL4","ENSG00000186094",84871
"AGBL4-AS1","ENSG00000230114",101929721
"AGBL4-IT1","ENSG00000225623",NA
"AGBL5","ENSG00000084693",60509
"AGBL5-AS1","ENSG00000231636",NA
"AGER","ENSG00000229058",177
"AGER","ENSG00000234729",177
"AGER","ENSG00000206320",177
"AGER","ENSG00000230514",177
"AGER","ENSG00000204305",177
"AGER","ENSG00000237405",177
"AGER","ENSG00000231268",177
"AGFG1","ENSG00000173744",3267
"AGFG2","ENSG00000106351",3268
"AGGF1","ENSG00000164252",55109
"AGK","ENSG00000006530",55750
"AGK","ENSG00000262327",55750
"AGL","ENSG00000162688",178
"AGMAT","ENSG00000116771",79814
"AGMO","ENSG00000187546",392636
"AGO1","ENSG00000092847",26523
"AGO2","ENSG00000123908",27161
"AGO3","ENSG00000126070",192669
"AGO4","ENSG00000134698",192670
"AGPAT1","ENSG00000228892",10554
"AGPAT1","ENSG00000206324",10554
"AGPAT1","ENSG00000227642",10554
"AGPAT1","ENSG00000235758",10554
"AGPAT1","ENSG00000226467",10554
"AGPAT1","ENSG00000236873",10554
"AGPAT1","ENSG00000204310",10554
"AGPAT2","ENSG00000169692",10555
"AGPAT3","ENSG00000160216",56894
"AGPAT4","ENSG00000026652",56895
"AGPAT5","ENSG00000155189",55326
"AGPAT5","ENSG00000284980",55326
"AGPS","ENSG00000018510",8540
"AGR2","ENSG00000106541",10551
"AGR3","ENSG00000173467",155465
"AGRN","ENSG00000188157",375790
"AGRP","ENSG00000159723",181
"AGT","ENSG00000135744",183
"AGTPBP1","ENSG00000135049",23287
"AGTR1","ENSG00000144891",185
"AGTR2","ENSG00000180772",186
"AGTRAP","ENSG00000177674",57085
"AGXT","ENSG00000172482",189
"AGXT2","ENSG00000113492",64902
"AHCTF1","ENSG00000153207",25909
"AHCY","ENSG00000101444",191
"AHCYL1","ENSG00000168710",10768
"AHCYL2","ENSG00000158467",23382
"AHDC1","ENSG00000126705",27245
"AHI1","ENSG00000135541",54806
"AHI1-DT","ENSG00000231028",100131814
"AHNAK","ENSG00000124942",79026
"AHNAK2","ENSG00000185567",113146
"AHR","ENSG00000106546",196
"AHRR","ENSG00000063438",57491
"AHSA1","ENSG00000100591",10598
"AHSG","ENSG00000145192",197
"AHSP","ENSG00000169877",51327
"AICDA","ENSG00000111732",57379
"AIDA","ENSG00000186063",64853
"AIF1","ENSG00000204472",199
"AIF1","ENSG00000235985",199
"AIF1","ENSG00000234836",199
"AIF1","ENSG00000235588",199
"AIF1","ENSG00000206428",199
"AIF1","ENSG00000237727",199
"AIF1L","ENSG00000126878",83543
"AIFM1","ENSG00000156709",9131
"AIFM2","ENSG00000042286",84883
"AIFM3","ENSG00000183773",150209
"AIG1","ENSG00000146416",51390
"AIM2","ENSG00000163568",9447
"AIMP1","ENSG00000164022",9255
"AIMP2","ENSG00000106305",7965
"AIP","ENSG00000110711",9049
"AIPL1","ENSG00000129221",23746
"AIRE","ENSG00000160224",326
"AIRIM","ENSG00000116922",54955
"AIRN","ENSG00000268257",100271873
"AJAP1","ENSG00000196581",55966
"AJM1","ENSG00000232434",389813
"AJUBA","ENSG00000129474",84962
"AK1","ENSG00000106992",203
"AK2","ENSG00000004455",204
"AK3","ENSG00000147853",50808
"AK4","ENSG00000162433",205
"AK5","ENSG00000154027",26289
"AK6","ENSG00000279247",NA
"AK6","ENSG00000085231",NA
"AK7","ENSG00000140057",122481
"AK8","ENSG00000165695",158067
"AK9","ENSG00000155085",221264
"AKAIN1","ENSG00000231824",642597
"AKAP1","ENSG00000121057",8165
"AKAP10","ENSG00000108599",11216
"AKAP11","ENSG00000023516",11215
"AKAP12","ENSG00000131016",9590
"AKAP13","ENSG00000170776",11214
"AKAP14","ENSG00000186471",158798
"AKAP17A","ENSG00000292343",8227
"AKAP17A","ENSG00000197976",8227
"AKAP3","ENSG00000111254",10566
"AKAP4","ENSG00000147081",8852
"AKAP5","ENSG00000179841",9495
"AKAP6","ENSG00000151320",9472
"AKAP7","ENSG00000118507",9465
"AKAP8","ENSG00000105127",10270
"AKAP8L","ENSG00000011243",26993
"AKAP9","ENSG00000127914",10142
"AKIP1","ENSG00000166452",56672
"AKIRIN1","ENSG00000174574",79647
"AKIRIN2","ENSG00000135334",55122
"AKNA","ENSG00000106948",80709
"AKNAD1","ENSG00000162641",254268
"AKR1A1","ENSG00000117448",10327
"AKR1B1","ENSG00000085662",231
"AKR1B10","ENSG00000198074",57016
"AKR1B15","ENSG00000227471",441282
"AKR1C1","ENSG00000187134",1645
"AKR1C2","ENSG00000151632",1646
"AKR1C3","ENSG00000196139",8644
"AKR1C4","ENSG00000198610",1109
"AKR1C8","ENSG00000264006",340811
"AKR1D1","ENSG00000122787",6718
"AKR1E2","ENSG00000165568",83592
"AKR7A2","ENSG00000053371",8574
"AKR7A3","ENSG00000162482",22977
"AKR7L","ENSG00000211454",246181
"AKT1","ENSG00000142208",207
"AKT1S1","ENSG00000204673",84335
"AKT2","ENSG00000105221",208
"AKT3","ENSG00000117020",10000
"AKT3","ENSG00000275199",10000
"AKT3-IT1","ENSG00000228939",NA
"AKTIP","ENSG00000166971",64400
"ALAD","ENSG00000148218",210
"ALAS1","ENSG00000023330",211
"ALAS2","ENSG00000158578",212
"ALB","ENSG00000163631",213
"ALCAM","ENSG00000170017",214
"ALDH16A1","ENSG00000161618",126133
"ALDH18A1","ENSG00000059573",5832
"ALDH1A1","ENSG00000165092",216
"ALDH1A2","ENSG00000128918",8854
"ALDH1A3","ENSG00000184254",220
"ALDH1A3-AS1","ENSG00000259583",101927751
"ALDH1B1","ENSG00000137124",219
"ALDH1L1","ENSG00000144908",10840
"ALDH1L1-AS1","ENSG00000250218",100874204
"ALDH1L1-AS2","ENSG00000246022",100862662
"ALDH1L2","ENSG00000136010",160428
"ALDH2","ENSG00000111275",217
"ALDH3A1","ENSG00000108602",218
"ALDH3A2","ENSG00000072210",224
"ALDH3B1","ENSG00000006534",221
"ALDH3B2","ENSG00000132746",222
"ALDH4A1","ENSG00000159423",8659
"ALDH5A1","ENSG00000112294",7915
"ALDH6A1","ENSG00000119711",4329
"ALDH7A1","ENSG00000164904",501
"ALDH8A1","ENSG00000118514",64577
"ALDH9A1","ENSG00000143149",223
"ALDOA","ENSG00000149925",226
"ALDOB","ENSG00000136872",229
"ALDOC","ENSG00000109107",230
"ALG1","ENSG00000033011",56052
"ALG10","ENSG00000139133",84920
"ALG10B","ENSG00000175548",144245
"ALG11","ENSG00000253710",440138
"ALG12","ENSG00000182858",79087
"ALG13","ENSG00000101901",79868
"ALG14","ENSG00000172339",199857
"ALG14-AS1","ENSG00000230427",101928098
"ALG1L2","ENSG00000251287",644974
"ALG2","ENSG00000119523",85365
"ALG3","ENSG00000214160",10195
"ALG5","ENSG00000120697",29880
"ALG6","ENSG00000088035",29929
"ALG8","ENSG00000159063",79053
"ALG9","ENSG00000086848",79796
"ALK","ENSG00000171094",238
"ALKAL1","ENSG00000196711",389658
"ALKAL2","ENSG00000189292",285016
"ALKBH1","ENSG00000100601",8846
"ALKBH2","ENSG00000189046",121642
"ALKBH3","ENSG00000166199",221120
"ALKBH3-AS1","ENSG00000244926",100507300
"ALKBH4","ENSG00000160993",54784
"ALKBH5","ENSG00000091542",54890
"ALKBH6","ENSG00000239382",84964
"ALKBH7","ENSG00000125652",84266
"ALKBH8","ENSG00000137760",91801
"ALLC","ENSG00000151360",55821
"ALMS1","ENSG00000116127",7840
"ALMS1P1","ENSG00000291487",200420
"ALMS1P1","ENSG00000290727",200420
"ALMS1P1","ENSG00000163016",200420
"ALMS1P1","ENSG00000291486",200420
