"affy_hg_u133_plus_2","avg_expression","adj.P.Val","P.Value","t","B","logFC","Gene.ID","Gene.symbol","Gene.title","norm_p_value","p_value_plat_rank","norm_p_value_plat_rank","norm_avg_exprss","GEOreflect_rank","pval_rank","study_pval","study_B_val","study_pval_rank","wnt_assoc"
"1554696_s_at",9.03614758033333,1.91228308455636e-06,7.07516706616899e-09,-16.3536092947886,11.0680562592376,-1.643472436,"7298","TYMS","thymidylate synthetase",0.99999999292485,29,0.971,0.575294446663629,212,202,7.07516706616899e-09,11.0680562592376,202,FALSE
"1554768_a_at",8.32134730716667,9.004730347074e-06,8.2088678720754e-08,-12.8469181848043,8.61448963850175,-1.38923265833333,"4085","MAD2L1","MAD2 mitotic arrest deficient-like 1 (yeast)",0.999999917911332,36,0.964,0.483921173763413,366,497,8.2088678720754e-08,8.61448963850175,497,FALSE
"1554803_s_at",5.90083035466667,4.32327041029766e-05,8.13652538124607e-07,10.1878890718419,6.25508827394391,1.087777522,"493829","TRIM72","tripartite motif containing 72",0.99999918634741,13,0.987,0.174505293043941,1381,1024,8.13652538124607e-07,6.25508827394391,1024,FALSE
"1554910_at",6.97912918233333,2.51863858759417e-05,3.68525079117574e-07,11.0467598993435,7.07499587866875,1.38185804866667,"23683","PRKD3","protein kinase D3",0.999999631474907,7,0.993,0.312344766176594,870,800,3.68525079117574e-07,7.07499587866875,800,FALSE
"1554980_a_at",7.77346090416667,1.61323277505336e-07,7.3764644492609e-11,25.3828589559235,15.3135239584,2.75318896366667,"467","ATF3","activating transcription factor 3",0.999999999926254,4,0.996,0.413884583545205,510,25,7.3764644492609e-11,15.3135239584,25,FALSE
"1554999_at",5.63029024616667,3.85747885888518e-05,6.83657432877867e-07,10.3716792681117,6.43568918088551,1.29329368233333,"153020","RASGEF1B","RasGEF domain family member 1B",0.999999316342526,8,0.992,0.139922016998297,1472,968,6.83657432877867e-07,6.43568918088551,968,FALSE
"1555037_a_at",7.0814756425,1.89010116910027e-05,2.51667791697301e-07,11.4817962752175,7.46803044928347,1.41421613433333,"3417","IDH1","isocitrate dehydrogenase (NADP(+)) 1, cytosolic",0.999999748332205,26,0.974,0.325427764863417,846,728,2.51667791697301e-07,7.46803044928347,728,FALSE
"1555053_at",5.89614837566667,5.32513104297524e-05,1.09862785852329e-06,9.87719203775513,5.94307339089892,1.38740809066667,"143425","SYT9","synaptotagmin 9",0.999998901372065,7,0.993,0.173906793349775,1377,1113,1.09862785852329e-06,5.94307339089892,1113,FALSE
"1555107_a_at",4.91378367316667,0.00146234135856699,9.95756173378128e-05,6.02223000259241,1.21906694963663,1.07940457766666,"57654","UVSSA","UV stimulated scaffold protein A",0.999900424374076,17,0.983,0.0483306269453965,1616,1596,9.95756173378128e-05,1.21906694963663,1596,FALSE
"1555214_a_at",6.41850848783333,0.00133615569789573,8.87104743184545e-05,6.10533970418271,1.34044720498123,1.039202145,"64581","CLEC7A","C-type lectin domain family 7 member A",0.999911289518034,22,0.978,0.240680345169702,1137,1594,8.87104743184545e-05,1.34044720498123,1594,FALSE
"1555225_at",6.79053770583333,4.67846627073242e-06,2.85573471887839e-08,-14.2635478812341,9.68191490252198,-1.747467745,"25912","C1orf43","chromosome 1 open reading frame 43",0.999999971442669,17,0.983,0.288237024341874,967,333,2.85573471887839e-08,9.68191490252198,333,FALSE
"1555326_a_at",6.03666275416667,1.156369084471e-05,1.19611391052642e-07,12.3731210425514,8.23070196833996,1.34051213966667,"8754","ADAM9","ADAM metallopeptidase domain 9",0.999999880388617,31,0.969,0.191868815938554,1329,565,1.19611391052642e-07,8.23070196833996,565,FALSE
"1555355_a_at",5.5332840835,8.22637652072548e-05,2.06580977831844e-06,-9.24902757199949,5.28517275651857,-1.24979011566667,"2113","ETS1","ETS proto-oncogene 1, transcription factor",0.999997934190061,56,0.944,0.127521671185506,1510,1273,2.06580977831844e-06,5.28517275651857,1273,FALSE
"1555372_at",8.27606461733333,8.109757415762e-06,6.78481259960388e-08,13.0927993573377,8.80812269922017,1.46370920066667,"10018","BCL2L11","BCL2 like 11",0.999999932151886,12,0.988,0.478132665097255,354,457,6.78481259960388e-08,8.80812269922017,457,FALSE
"1555411_a_at",8.87625095583333,6.76442960338782e-06,4.93645617147095e-08,13.5126172239769,9.13037616907283,1.373937875,"57018","CCNL1","cyclin L1",0.999999950635452,12,0.988,0.554854781970251,234,399,4.93645617147095e-08,9.13037616907283,399,FALSE
"1555413_s_at",5.50049458183333,0.000100491866807595,2.74227462783596e-06,-8.97786082647658,4.98935907712473,-1.08395395766667,"26223","FBXL21","F-box and leucine rich repeat protein 21 (gene/pseudogene)",0.999997257725153,9,0.991,0.123330172949534,1504,1340,2.74227462783596e-06,4.98935907712473,1340,FALSE
"1555676_s_at",5.95867152633333,0.000844562127445397,4.82408326293914e-05,-6.55506678542415,1.98067869263003,-1.02212493066667,"219409","GSX1","GS homeobox 1",0.99995175916322,13,0.987,0.181899158662029,1354,1580,4.82408326293914e-05,1.98067869263003,1580,FALSE
"1555758_a_at",7.0545103365,5.56219500921709e-06,3.71321660423272e-08,-13.8987149658205,9.41781789576481,-1.49746561833333,"1033","CDKN3","cyclin dependent kinase inhibitor 3",0.999999962867849,40,0.96,0.321980776443756,872,365,3.71321660423272e-08,9.41781789576481,365,FALSE
"1555759_a_at",7.31842445466667,1.45588689436537e-06,4.28711092808094e-09,17.1707340917218,11.5576987865505,1.72481209533333,"6352","CCL5","C-C motif chemokine ligand 5",0.999999995712907,14,0.986,0.355717048863787,702,161,4.28711092808094e-09,11.5576987865505,161,FALSE
"1555772_a_at",6.13757755133333,3.83381015612196e-06,2.14567152770612e-08,-14.6706458423762,9.96835829388732,-1.80419000866667,"993","CDC25A","cell division cycle 25A",0.999999978543301,18,0.982,0.204768804435102,1267,306,2.14567152770612e-08,9.96835829388732,306,FALSE
"1555788_a_at",7.88217676083333,2.97838476728533e-06,1.4456773811829e-08,15.2504372127877,10.3620270406919,1.521091923,"57761","TRIB3","tribbles pseudokinase 3",0.999999985543243,10,0.99,0.427781785340856,471,265,1.4456773811829e-08,10.3620270406919,265,FALSE
"1555826_at",5.52758660183333,4.78856608864322e-05,9.45889597756686e-07,-10.0310820765149,6.09868586307875,-1.378052661,"332","BIRC5","baculoviral IAP repeat containing 5",0.999999054110339,33,0.967,0.126793359282566,1502,1071,9.45889597756686e-07,6.09868586307875,1071,FALSE
"1555827_at",5.80267970933333,0.000250969628031572,9.47418952459376e-06,7.86254738176044,3.69081007558151,1.01843750333333,"57018","CCNL1","cyclin L1",0.999990525809675,27,0.973,0.161958647445103,1418,1495,9.47418952459376e-06,3.69081007558151,1495,FALSE
"1555832_s_at",9.83205478966667,2.72150632016264e-08,3.98208515067236e-12,33.5091839908175,17.6854621064065,3.21622354733333,"1316","KLF6","Kruppel like factor 6",0.999999999996036,6,0.994,0.677035659379573,110,8,3.98208515067236e-12,17.6854621064065,8,FALSE
"1555844_s_at",9.43642897683333,4.02849765711578e-05,7.27229481037636e-07,-10.3061329690102,6.37161240590734,-1.08292534966667,"4670","HNRNPM","heterogeneous nuclear ribonucleoprotein M",0.999999272770474,14,0.986,0.626462615804418,147,985,7.27229481037636e-07,6.37161240590734,985,FALSE
"1556095_at",6.84763351233333,1.18567040639611e-05,1.23825843996741e-07,-12.3303236400403,8.19532160379412,-1.44339476133333,"440279","UNC13C","unc-13 homolog C",0.999999876174164,9,0.991,0.295535609561589,934,571,1.23825843996741e-07,8.19532160379412,571,FALSE
"1556096_s_at",7.31208262383333,1.36807314252706e-05,1.57316656045006e-07,-12.0380041500181,7.95039581387023,-1.473357345,"440279","UNC13C","unc-13 homolog C",0.999999842683349,13,0.987,0.354906369487778,706,628,1.57316656045006e-07,7.95039581387023,628,FALSE
"1556291_at",9.05529223433333,0.000574934162800598,2.8991393034338e-05,6.94674862665824,2.51596316289689,1.06471537066667,"285877","POM121L12","POM121 transmembrane nucleoporin like 12",0.999971008604479,21,0.979,0.577741717265209,196,1566,2.8991393034338e-05,2.51596316289689,1566,FALSE
"1556841_a_at",5.572569435,1.60724854386515e-05,1.97789625943975e-07,11.7641241745397,7.71561623043133,1.23550475,"160428","ALDH1L2","aldehyde dehydrogenase 1 family member L2",0.999999802210375,9,0.991,0.132543537122529,1490,672,1.97789625943975e-07,7.71561623043133,672,FALSE
"1557116_at",6.70394454383333,0.000103762019506645,2.85049022951955e-06,8.94130387821652,4.94891170172424,1.12154174633333,"80830","APOL6","apolipoprotein L6",0.999997149509542,33,0.967,0.277167777560999,1024,1344,2.85049022951955e-06,4.94891170172424,1344,FALSE
"1557128_at",6.059292598,8.30873244232745e-05,2.10419962393059e-06,-9.23120595418281,5.26595623580093,-1.59411876333333,"374393","FAM111B","family with sequence similarity 111 member B",0.999997895800212,36,0.964,0.194761600082454,1323,1280,2.10419962393059e-06,5.26595623580093,1280,FALSE
"1557129_a_at",6.58176347016667,3.6662767058283e-06,1.99155771674623e-08,-14.7785149134448,10.0428465503663,-1.79605169033333,"374393","FAM111B","family with sequence similarity 111 member B",0.999999980084439,20,0.98,0.261549310408032,1062,297,1.99155771674623e-08,10.0428465503663,297,FALSE
"1557224_at",6.61475030833333,9.91045246539897e-05,2.68991521877496e-06,8.99611362273653,5.00950330432891,1.01265974266667,"","","",0.999997310084567,7,0.993,0.265766034266523,1038,1334,2.68991521877496e-06,5.00950330432891,1334,FALSE
"1557267_s_at",5.420750585,0.000146510541415611,4.62509729279095e-06,-8.49385903083807,4.44255084956609,-1.533629936,"348654","GEN1","GEN1, Holliday junction 5' flap endonuclease",0.999995374902326,19,0.981,0.113136458343738,1529,1418,4.62509729279095e-06,4.44255084956609,1418,FALSE
"1557637_at",6.03722222366667,0.0103249164016813,0.00129715319182714,4.3276018639604,-1.46498263087707,1.061930116,"","","",0.998702846696103,38,0.962,0.191940333201797,1337,1623,0.00129715319182714,-1.46498263087707,1623,FALSE
"1557638_at",7.21106089933333,8.17030077765052e-05,2.0352902897412e-06,9.26345352485549,5.30070494757748,1.03698956133333,"101929748","LOC101929748","uncharacterized LOC101929748",0.999997964709553,12,0.988,0.341992712417257,761,1268,2.0352902897412e-06,5.30070494757748,1268,FALSE
"1557707_at",7.57525703833333,0.00840723247602352,0.000987186694029648,-4.49596351438138,-1.18130468088588,-1.013322182,"","","",0.999012813220685,39,0.961,0.388548085221785,645,1620,0.000987186694029648,-1.18130468088588,1620,FALSE
"1557787_at",5.18577910766667,0.000358080651955054,1.54169520750288e-05,-7.45403760010844,3.17959901365991,-1.24508899733333,"101929153","LOC101929153","uncharacterized LOC101929153",0.999984583046611,10,0.99,0.083099938034323,1579,1531,1.54169520750288e-05,3.17959901365991,1531,FALSE
"1558120_at",7.92820148616667,3.30064095904421e-05,5.45730119245718e-07,10.6136933081681,6.66914680098733,1.167323123,"1654","DDX3X","DEAD-box helicase 3, X-linked",0.999999454269852,7,0.993,0.433665148772447,453,904,5.45730119245718e-07,6.66914680098733,904,TRUE
"1558142_at",7.65086167033333,3.20628417192355e-05,5.20511214056251e-07,10.6651071370092,6.71811827833078,1.11176258866667,"23112","TNRC6B","trinucleotide repeat containing 6B",0.999999479488759,17,0.983,0.398212662771052,580,887,5.20511214056251e-07,6.71811827833078,887,TRUE
"1558143_a_at",8.23551339766667,0.000342268614406431,1.44925808726425e-05,7.50505056931173,3.24454386116666,1.12636582333334,"10018","BCL2L11","BCL2 like 11",0.999985507417893,53,0.947,0.472948982605607,409,1528,1.44925808726425e-05,3.24454386116666,1528,FALSE
"1558827_a_at",5.7717238385,0.000475696471762795,2.2499333808479e-05,7.14743275773806,2.7824172141209,1.43363987233333,"128611","ZNF831","zinc finger protein 831",0.999977500664265,15,0.985,0.158001543146601,1423,1554,2.2499333808479e-05,2.7824172141209,1554,FALSE
"1559060_a_at",5.93910688483333,4.28493500064659e-05,7.98980289630004e-07,10.2069739034777,6.27397721120368,1.12876772233333,"96459","FNIP1","folliculin interacting protein 1",0.99999920101966,15,0.985,0.179398200850339,1362,1015,7.98980289630004e-07,6.27397721120368,1015,FALSE
"1559776_at",6.89985054916667,7.85884970352593e-05,1.92608296346132e-06,9.31706374613847,5.35824745854889,1.00038330566667,"","","",0.999998073916888,33,0.967,0.302210539238764,936,1254,1.92608296346132e-06,5.35824745854889,1254,FALSE
"1559946_s_at",8.14419191533333,4.34670834918862e-05,8.26013712813346e-07,-10.1720980270063,6.23943540426234,-1.08261736133333,"10856","RUVBL2","RuvB like AAA ATPase 2",0.999999173986234,28,0.972,0.461275312294977,408,1034,8.26013712813346e-07,6.23943540426234,1034,TRUE
"1560396_at",6.990625209,7.70709320270476e-05,1.87338397190574e-06,9.34412481887342,5.38718691513246,1.25446508733333,"89857","KLHL6","kelch like family member 6",0.999998126615884,24,0.976,0.313814308958423,884,1248,1.87338397190574e-06,5.38718691513246,1248,FALSE
"1560557_at",6.41253424883333,0.000845088089201289,4.82863317908519e-05,6.55435531290156,1.97968769688477,1.11521708566667,"105370549","LOC105370549","uncharacterized LOC105370549",0.999951713664055,14,0.986,0.239916655239787,1132,1581,4.82863317908519e-05,1.97968769688477,1581,FALSE
"1560652_at",5.5909024575,4.57101867515276e-06,2.69714588223662e-08,14.344077787051,9.73925636635749,1.63733519433333,"8471","IRS4","insulin receptor substrate 4",0.999999973028557,13,0.987,0.13488705646753,1484,322,2.69714588223662e-08,9.73925636635749,322,FALSE
"1560962_at",6.0197345675,4.26329934059937e-05,7.9159599734812e-07,10.2167234004441,6.28361445419436,1.56094833233333,"","","",0.999999208403953,10,0.99,0.189704877453826,1322,1011,7.9159599734812e-07,6.28361445419436,1011,FALSE
"1561079_at",7.05587714816667,6.54213600225931e-05,1.47893554618976e-06,9.57731958341744,5.63364743789309,1.03842645233333,"23243","ANKRD28","ankyrin repeat domain 28",0.999998521064344,20,0.98,0.322155496655975,850,1194,1.47893554618976e-06,5.63364743789309,1194,FALSE
"1561116_at",4.5356999705,5.91866261999659e-05,1.28338239339213e-06,-9.71944949113689,5.78134061559715,-1.070690763,"","","",0.999998716617514,10,0.99,0,1629,1159,1.28338239339213e-06,5.78134061559715,1159,FALSE
"1561347_a_at",5.086310666,8.58740716976908e-05,2.21615574148041e-06,9.18117857077344,5.21184560684674,1.12705555933333,"101927166","LOC101927166","uncharacterized LOC101927166",0.999997783844085,11,0.989,0.0703848378775994,1596,1292,2.21615574148041e-06,5.21184560684674,1292,FALSE
"1561383_at",5.131964697,0.00242994374647794,0.000196573227081334,-5.54621397914533,0.505151263665775,-1.64914439533333,"284661","LOC284661","uncharacterized LOC284661",0.999803426755951,16,0.984,0.0762208152689864,1586,1610,0.000196573227081334,0.505151263665775,1610,FALSE
"1561429_a_at",7.15660722933333,0.00197489864160541,0.000150262063997778,5.73161974356153,0.787015692771604,1.07310747866667,"89876","MAATS1","MYCBP associated and testis expressed 1",0.999849737923036,19,0.981,0.335031872814769,796,1602,0.000150262063997778,0.787015692771604,1602,FALSE
"1561856_at",5.239303499,0.000277016315749557,1.08729220594156e-05,7.74541431000952,3.54628119077037,1.08952830266667,"","","",0.999989127077019,9,0.991,0.0899419874846571,1571,1513,1.08729220594156e-05,3.54628119077037,1513,FALSE
"1561966_at",5.04695360933333,0.000149608180751782,4.75572049650842e-06,8.46864867521955,4.41338533633102,1.092909792,"101927647","LOC101927647","uncharacterized LOC101927647",0.999995244279111,9,0.991,0.0653538058336117,1601,1424,4.75572049650842e-06,4.41338533633102,1424,FALSE
"1562187_at",5.48258610416667,0.0308083219650431,0.00551854289773663,3.46847141526938,-2.95562298633528,1.068688215,"","","",0.99448145662542,48,0.952,0.121040923380819,1522,1627,0.00551854289773663,-2.95562298633528,1627,FALSE
"1562921_at",6.411512142,3.34100322914965e-05,5.5790323698466e-07,-10.5897917410548,6.6463068262603,-1.12752346866667,"101927279","EP300-AS1","EP300 antisense RNA 1",0.999999442096733,24,0.976,0.239785998817117,1143,913,5.5790323698466e-07,6.6463068262603,913,FALSE
"1563131_at",6.19740713966667,1.67616778390407e-05,2.12276356150875e-07,11.6806685506461,7.64302726230177,1.12291269866667,"","","",0.999999787723644,11,0.989,0.212416850340388,1230,692,2.12276356150875e-07,7.64302726230177,692,FALSE
"1563431_x_at",5.5714176525,2.5901398089876e-05,3.82800863323314e-07,-11.0041927219867,7.03576254408368,-1.19918491566667,"","","",0.999999617199122,17,0.983,0.132396304195172,1494,808,3.82800863323314e-07,7.03576254408368,808,FALSE
"1563591_at",7.14329282066667,1.44193750768299e-05,1.68259008669729e-07,-11.9569908427502,7.88149104924602,-1.48601503133333,"101928269///100506403///861","LOC101928269///LOC100506403///RUNX1","uncharacterized LOC101928269///uncharacterized LOC100506403///runt related transcription factor 1",0.999999831740995,7,0.993,0.333329885361386,789,638,1.68259008669729e-07,7.88149104924602,638,FALSE
"1563638_at",5.86325543666667,0.000138693401544371,4.2692454467156e-06,-8.56664936718964,4.52637422541327,-1.14840847466667,"780776","TVP23A","trans-golgi network vesicle protein 23 homolog A",0.999995730754203,12,0.988,0.169702072668259,1394,1407,4.2692454467156e-06,4.52637422541327,1407,FALSE
"1563656_at",5.44973343533333,4.12074906785528e-06,2.35902049975071e-08,14.5344974143766,9.8735065817051,1.476314862,"","","",0.999999976409811,5,0.995,0.116841350454651,1515,313,2.35902049975071e-08,9.8735065817051,313,FALSE
"1565358_at",6.156575664,0.00041400959192438,1.87108861754941e-05,7.29585983135025,2.97616897618445,1.044537684,"5914","RARA","retinoic acid receptor alpha",0.999981289112226,21,0.979,0.207197342585473,1261,1545,1.87108861754941e-05,2.97616897618445,1545,FALSE
"1565651_at",8.33837961666667,2.47785149548628e-06,1.06501161671564e-08,15.7135122978232,10.6650088688146,1.56543634666667,"","","",0.999999989349901,6,0.994,0.486098422321488,329,235,1.06501161671564e-08,10.6650088688146,235,FALSE
"1565716_at",6.59247306133333,4.33315741739601e-05,8.17485191869396e-07,10.1829652715514,6.25020988357936,1.29515402266667,"2521","FUS","FUS RNA binding protein",0.999999182514756,10,0.99,0.26291832275044,1046,1026,8.17485191869396e-07,6.25020988357936,1026,FALSE
"1565786_x_at",5.89101117566667,3.85455364770978e-05,6.81191762631673e-07,-10.3755230664111,6.43943546752649,-1.21808059866667,"645566","FLJ45482","uncharacterized LOC645566",0.999999318808197,14,0.986,0.173250102529746,1385,961,6.81191762631673e-07,6.43943546752649,961,FALSE
"1566720_at",5.96027606133333,5.16061898173037e-05,1.05147316792824e-06,9.92208981192519,5.98869316718132,1.06683623866667,"376693","RPS10P7","ribosomal protein S10 pseudogene 7",0.999998948526759,7,0.993,0.182104267165672,1349,1102,1.05147316792824e-06,5.98869316718132,1102,FALSE
"1567628_at",7.161978934,9.46045333950232e-05,2.53663001293286e-06,9.05184651275012,5.07080208135049,1.062188126,"972","CD74","CD74 molecule",0.999997463369786,17,0.983,0.335718540482469,791,1325,2.53663001293286e-06,5.07080208135049,1325,FALSE
"1568596_a_at",6.86812633433333,5.50093677851534e-05,1.14596561330205e-06,-9.83417520054949,5.89919369939865,-1.00381877333334,"10024","TROAP","trophinin associated protein",0.999998854034306,39,0.961,0.298155217146245,959,1122,1.14596561330205e-06,5.89919369939865,1122,FALSE
"1568609_s_at",6.561675055,9.90535299094614e-07,1.99284650938103e-09,18.4945098911897,12.2969387427008,1.989965616,"103091866///728855///388685///57234","LOC103091866///LINC00623///LINC01138///LINC00869","uncharacterized LOC103091866///long intergenic non-protein coding RNA 623///long intergenic non-protein coding RNA 1138///long intergenic non-protein coding RNA 869",0.999999998007171,12,0.988,0.25898139834915,1064,110,1.99284650938103e-09,12.2969387427008,110,FALSE
"1569237_at",5.42915524383333,3.34100322914965e-05,5.57844091119776e-07,10.5899064983176,6.6464165988687,1.299411921,"","","",0.999999442155879,10,0.99,0.114210830044533,1525,912,5.57844091119776e-07,6.6464165988687,912,FALSE
"1569238_a_at",4.79946420433333,0.00026776045540459,1.03186333705985e-05,7.78977107531051,3.60120387079522,1.123165322,"","","",0.999989681365756,15,0.985,0.0337171126314751,1624,1506,1.03186333705985e-05,3.60120387079522,1506,FALSE
"1569346_a_at",5.89603345366667,3.34978757608431e-06,1.75666158184118e-08,14.9617845626292,10.1680814637682,1.54100374666667,"","","",0.999999982433401,8,0.992,0.173892102813604,1378,286,1.75666158184118e-08,10.1680814637682,286,FALSE
"1569380_a_at",6.47529894983333,6.86795668769822e-06,5.11249816532817e-08,13.4657787809951,9.09493254768265,2.54096653633333,"9709","HERPUD1","homocysteine inducible ER protein with ubiquitin like domain 1",0.999999948875032,6,0.994,0.24793989805077,1097,407,5.11249816532817e-08,9.09493254768265,407,FALSE
"1569477_at",7.871428821,6.38791797905867e-05,1.4312520451858e-06,9.61001246080418,5.6677871497459,1.19146961,"","","",0.999998568747849,15,0.985,0.426407870869398,485,1187,1.4312520451858e-06,5.6677871497459,1187,FALSE
"1569487_at",5.37219285316667,0.00206909072826254,0.000159699366680711,-5.68928926897263,0.723090013040689,-1.270815561,"","","",0.999840300619538,30,0.97,0.106929299436863,1546,1604,0.000159699366680711,0.723090013040689,1604,FALSE
"1569969_a_at",7.22227251866667,1.4696628286578e-05,1.7445106096002e-07,-11.9136478138599,7.84444018125457,-1.48846065066667,"440279","UNC13C","unc-13 homolog C",0.999999825548942,12,0.988,0.343425899268823,755,649,1.7445106096002e-07,7.84444018125457,649,FALSE
